# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,28.860000 ,100.000000,0.000000  ,0.000000  ,0.015600  ,12.631882 
2.000000  ,1.000000  ,27.960000 ,100.000000,10.000000 ,0.000000  ,0.016029  ,11.845749 
3.000000  ,1.000000  ,28.220000 ,99.770000 ,20.000000 ,0.000000  ,0.015870  ,12.168200 
4.000000  ,0.000000  ,27.140000 ,90.280000 ,30.000000 ,0.000000  ,0.033827  ,11.627258 
5.000000  ,0.000000  ,12.820000 ,38.770000 ,40.000000 ,0.000000  ,0.022709  ,5.872941  
6.000000  ,0.000000  ,6.660000  ,23.260000 ,50.000000 ,0.000000  ,0.006848  ,3.194380  
7.000000  ,0.000000  ,2.040000  ,3.590000  ,60.000000 ,0.000000  ,0.001581  ,0.943891  
8.000000  ,0.000000  ,3.680000  ,9.490000  ,70.000000 ,0.000000  ,0.006057  ,1.640465  
9.000000  ,0.000000  ,3.380000  ,8.330000  ,80.000000 ,0.000000  ,0.005091  ,1.549285  
10.000000 ,0.000000  ,2.380000  ,4.280000  ,90.000000 ,0.000000  ,0.003528  ,1.107144  
